DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
372,2009-04-26,2009,4,April,26,Sunday,2
373,2009-04-27,2009,4,April,27,Monday,2
374,2009-04-28,2009,4,April,28,Tuesday,2
375,2009-04-29,2009,4,April,29,Wednesday,2
376,2009-04-30,2009,4,April,30,Thursday,2
377,2009-05-01,2009,5,May,1,Friday,2
378,2009-05-02,2009,5,May,2,Saturday,2
379,2009-05-03,2009,5,May,3,Sunday,2
380,2009-05-04,2009,5,May,4,Monday,2
381,2009-05-05,2009,5,May,5,Tuesday,2
382,2009-05-06,2009,5,May,6,Wednesday,2
383,2009-05-07,2009,5,May,7,Thursday,2
384,2009-05-08,2009,5,May,8,Friday,2
385,2009-05-09,2009,5,May,9,Saturday,2
386,2009-05-11,2009,5,May,11,Monday,2
387,2009-05-13,2009,5,May,13,Wednesday,2
388,2009-05-15,2009,5,May,15,Friday,2
389,2009-05-17,2009,5,May,17,Sunday,2
390,2009-05-18,2009,5,May,18,Monday,2
391,2009-05-19,2009,5,May,19,Tuesday,2
392,2009-05-21,2009,5,May,21,Thursday,2
393,2009-05-22,2009,5,May,22,Friday,2
394,2009-05-24,2009,5,May,24,Sunday,2
395,2009-05-25,2009,5,May,25,Monday,2
396,2009-05-26,2009,5,May,26,Tuesday,2
397,2009-05-27,2009,5,May,27,Wednesday,2
398,2009-05-28,2009,5,May,28,Thursday,2
399,2009-05-29,2009,5,May,29,Friday,2
400,2009-05-30,2009,5,May,30,Saturday,2
401,2009-05-31,2009,5,May,31,Sunday,2
402,2009-06-01,2009,6,June,1,Monday,2
403,2009-06-02,2009,6,June,2,Tuesday,2
404,2009-06-03,2009,6,June,3,Wednesday,2
405,2009-06-04,2009,6,June,4,Thursday,2
406,2009-06-05,2009,6,June,5,Friday,2
407,2009-06-06,2009,6,June,6,Saturday,2
408,2009-06-07,2009,6,June,7,Sunday,2
409,2009-06-08,2009,6,June,8,Monday,2
410,2009-06-09,2009,6,June,9,Tuesday,2
411,2009-06-10,2009,6,June,10,Wednesday,2
412,2009-06-11,2009,6,June,11,Thursday,2
413,2009-06-12,2009,6,June,12,Friday,2
414,2009-06-13,2009,6,June,13,Saturday,2
415,2009-06-14,2009,6,June,14,Sunday,2
416,2009-06-15,2009,6,June,15,Monday,2
417,2009-06-16,2009,6,June,16,Tuesday,2
418,2009-06-17,2009,6,June,17,Wednesday,2
419,2009-06-18,2009,6,June,18,Thursday,2
420,2009-06-19,2009,6,June,19,Friday,2
421,2009-06-20,2009,6,June,20,Saturday,2
422,2009-06-21,2009,6,June,21,Sunday,2
423,2009-06-22,2009,6,June,22,Monday,2
424,2009-06-23,2009,6,June,23,Tuesday,2
425,2009-06-24,2009,6,June,24,Wednesday,2
426,2009-06-25,2009,6,June,25,Thursday,2
427,2009-06-26,2009,6,June,26,Friday,2
428,2009-06-27,2009,6,June,27,Saturday,2
429,2009-06-28,2009,6,June,28,Sunday,2
430,2009-06-29,2009,6,June,29,Monday,2
431,2009-07-01,2009,7,July,1,Wednesday,2
432,2009-07-02,2009,7,July,2,Thursday,2
433,2009-07-03,2009,7,July,3,Friday,2
434,2009-07-04,2009,7,July,4,Saturday,2
435,2009-07-05,2009,7,July,5,Sunday,2
436,2009-07-06,2009,7,July,6,Monday,2
437,2009-07-07,2009,7,July,7,Tuesday,2
